adaptationists,adj. (在进化和遗传中或在政治方面)能动适应的，善于适应的
adiabatic coefficient,[化] 绝热系数
adiabatic coefficient of com-pression,[化] 绝热压缩系数
adiabatic column,[机] 绝热式精馏柱
adiabatic compressibility,[化] 绝热压缩系数; 绝热压缩性
adiabatic compression,[化] 绝热压缩
adiabatic condition,[化] 绝热条件; 绝热状态
adiabatic constant,[化] 绝热常数; 绝热系数
adiabatic contraction,[化] 绝热收缩
adiabatic cooling,[机] 绝对冷却
adiabatic cooling curve,[化] 绝热冷却曲线
adiabatic cooling line,[机] 绝对冷却线
adiabatic curve,[化] 绝热曲线
adiabatic decomposition temperature,[机] 绝热分解温度
adiabatic dehydrogenation,[化] 绝热脱氢(从烷烃产生烯烃)
adiabatic demagnetization,[化] 绝热退磁; 绝热退磁作用
adiabatic diaphragm,[化] 绝热隔膜
adiabatic dryer,[机] 绝热干燥器
adiabatic drying,[化] 绝热干燥
adiabatic efficiency,[化] 绝热效率
adiabatic elasticity,[机] 绝热弹性
adiabatic equation,[化] 绝热方程式
adiabatic evaporation,[机] 绝热蒸发
adiabatic expansion,[化] 绝热膨胀
adiabatic exponent,[化] 绝热指数
adiabatic extrusion,[化] 绝热挤塑; 自热挤出
adiabatic flame temperature,[化] 绝热火焰温度
adiabatic flow,[计] 绝热流\n[化] 绝热流
adiabatic head,[化] 绝热压头
adiabatic humidiflcation,[机] 绝对增湿(作用)
adiabatic index,[化] 绝热指数
adiabatic invariant,[化] 浸渐不变量; 绝热式不变量
adiabatic inveriance,[机] 绝热不变性
adiabatic line,[机] 绝热曲线
adiabatic membrane,[机] 绝热膜
adiabatic modulus,[化] 绝热模量
adiabatic partition,[化] 绝热隔膜
adiabatic potential,[机] 绝热位
adiabatic process,[化] 绝热过程
adiabatic reactor,[化] 绝热反应器
adiabatic rectification,[机] 绝热情馏
adiabatic saturated temperature,[化] 绝热饱和温度
adiabatic saturation,[机] 绝热饱和
adiabatic saturation temperature,[机] 绝热饱和温度
adiabatic system,[化] 绝热系统
adiabatic temperature rise,[化] 绝热温升
adiabatic transition,[化] 绝热跃迁
adiabatic wall,[机] 绝热壁
adiabatic work,[化] 绝热功
adiabatically,adv. 绝热地
adiabaticity,绝热性; 绝热性
adiabatics,[化] 绝热曲线
adiabaties,[机] 绝热曲线
adiactinic,[医] 不透光化线的
adiadochocinesia,[医] 轮替运动不能
adiadochocinesis,[医] 轮替运动不能
adiadochokinesia,[医] 轮替运动不能
adiadochokinesis,轮替运动不能
adiadokokinesia,[医] 轮替运动不能
adiaemorrhysis,[医] 血液循环停止
adiagnostic,"难辨认结构的, 不可判明的"
Adiantaceae,n. 铁线蕨科
adianthus,[网络] ad
adiantum,"n. 石长生属植物, 铁线蕨"
Adiantum bellum,[网络] 铁线莲
Adiantum capillus-veneris,[网络] 铁线蕨；无悔铁线蕨；铁线蕨科
Adiantum flabellulatum L.,[医] 过坛龙
Adiantum monochlamys,[医] 石长生
Adiantum pedatum,[网络] 掌叶铁线蕨；暂无；己二酸
Adiantum tenerum,[网络] 脆铁线蕨；铁线蕨科
Adiantum tenerum farleyense,[网络] 铁线莲属
adiaphanous,"浑白色的, 不透光的"
adiaphoresis,"n. [医]不能出汗,无汗"
adiaphoretic,"n. 止汗药, 止汗剂\na. 止汗的"
adiaphoria,"无反应[活动, 作用]"
adiaphorism,"n. [宗]不置可否论,广教主义"
adiaphorist,n. 【宗教】不置可否论者
adiaphoristic,a. adiaphorist的变形
adiaphorous,"a. 不偏不倚的, 中立的\n[医] 无反应的, 无活动的"
adiapneustia,"无汗, 不能出汗"
adiastole,心舒张期缺失
adiathermal,"(=adiathermic)不透热的, 绝热的"
adiathermance,"绝热, 不透热"
adiathermancy,"n. [物]绝热性,不透红外线性"
adiathermanous,不透红外线的
adiathermanous body,[化] 不透热体
adiathermic,"[医] 不透热的, 绝热的"
adiathesia,后天性素质
adiathetic,非素质性的
adiazine,磺胺嘧啶
adicity,"化合价, 原子价"
adidas,"n. 阿迪达斯（体育用品公司, 主要生产运动服等）"
Adie,n. 艾迪（女子名）
Adie's pupil,[医] 艾迪氏瞳
Adie's syndrome,[医] 艾迪氏综合征(病侧瞳孔放大及收缩迟缓)
adiemorrhysis,[医] 血液循环停止
adience,"接近, 趋向, 趋近"
adient,趋近的
adieu,"interj. 再见, 再会\nn. 告别, 辞别"
adieus,n. 告别；辞行\nint. 再见；再会
adieux,"pl. 告别, 辞别"
adigar,[网络] 连帽
Adige,阿迪杰河[意大利北部]
adigeite,镁蛇纹石
adijunct,附加的
adil,n. (Adil)人名；(俄、吉尔)阿季尔；(德、阿尔巴)阿迪尔；(阿拉伯、土)阿迪勒
adim,交流放大法（Alternating Direction Implicit Method ）
adin,n. (Adin)人名；(法)阿丹；(西、瑞典)阿丁；(英)埃丁
Adina,n. 艾迪娜(f.)
adinfinitum,无限地
Adinida,[医] 无凹鞭毛虫目
adinkra,[网络] 阿丁克拉；阿丁卡；阿帝卡
adinole,[化] 钠长英板岩
ADIO,"[计] 模数输入输出, 自动数字输入输出"
adioin,临近
adion,(=adsorbedion)(被)吸附离子
ADIOS,"[计] 模数输入输出系统, 自动诊断输入输出系统"
adip-," [医]脂肪, 脂肪组织, 肥胖"
adipaldehyde,"[化]己二醛, 肥醛"
adipamide,[化] 己二酰二胺
adipate,己二酸
adipectomy,[医] 脂肪[块]切除术
adiphenine,"[医] 阿迪芬宁, 解痉素(二苯基乙酰二乙基氨乙酯)"
adipic,"a. 脂肪的,油质的, 来自脂肪(或油质)的"
adipic acid,"[化] 己二酸; (俗称)肥酸\n[医] 肥酸, 己二酸"
adipic aldehyde,[化] 己二醛
adipic chloride,[化] 己二酰二氯
adipic dialdehyde,[化] 己二醛
adipic diamide,[化] 己二酰二胺
adipic dinitrile,[化] 己二腈
adipinic acid,[化] 己二酸; (俗称)肥酸
adipinketone,[建] 环戊酮
adipiodone,胆影酸
adipite,胶菱沸石
adipo-,"[医] 脂(猪脂,动物脂)"
adipocele,[医] 脂肪突出
adipocellular,[医] 脂肪结缔织的
adipocellulose,n. [生化]脂纤维素
adipoceration,[医] 尸蜡变
adipoceratous,[医] 尸蜡[样]的
adipocere,n. 尸蜡\n[医] 尸蜡
adipocere formation,"[法] 尸蜡, 尸蜡体, 尸体"
adipocere wax,[法] 尸蜡
adipocerite,[矿]伟晶蜡石
adipocerous,a. adipocere的变形
adipochrome,[医] 脂肪色素
adipocire,[化] 尸蜡
adipocyte,n. 脂肪细胞
adipocytes,[组织] 脂肪细胞
adipofibroma,"(pl.adipofibromas, adipofibromata)脂肪纤维瘤"
adipogenesis,"脂肪生成, 脂肪形成"
adipogenic,"[医] 脂肪形成的, 生脂的"
adipogenous,"[医] 脂肪形成的, 生脂的"
adipohepatic,[医] 肝脂肪变性的
adipoid,类脂
adipoin,[化] β-羟环己酮
adipokine,脂肪因子
adipokinetic,hormone[生化]脂肪动员激素
adipokinin,[化] 脂酸释放激素; 脂肪酸释放激素\n[医] 脂肪氧化激素(一种垂体前叶激素)
adipolysis,脂肪水解(作用)
adipolytic,[医] 脂肪水解的
adipoma,n. [医]脂肪瘤
adipometer,[医] 皮厚度计
adiponecrosis,脂肪坏死
adiponecrosis neonatorum,[医] 新生儿脂肪坏死
adiponecrosis subcutanea neonatorum,[医] 新生儿皮下脂肪坏死(假硬化病)
adiponectin,n. 脂联素；脂肪连接蛋白
adiponitrile,[有化]己二腈
adipopectic,[医] 积脂的
adipopexia,[医] 积脂
adipopexis,[医] 积脂
adiposalgia,[医] 脂肪痛
adiposalgia arthritico-hypertonica,[医] 高压关节炎性脂肪痛
adipose,"a. 动物脂肪的, 肥胖的\nn. 动物脂肪"
adipose atrophy,[医] 脂肪萎缩
adipose cell,[医] 脂肪细胞
adipose degeneration,[医] 脂肪变性
adipose duct,[医] 脂肪管
adipose fossa,[医] 脂肪窝
adipose glands,[医] 脂腺
adipose infiltration,[医] 脂肪浸润
adipose ligament,[医] [膝]脂囊
adipose osteoporosis,[医] 脂肪性骨质疏松
adipose sarcoma,[医] 脂肉瘤
adipose system,[医] 脂肪[组织]系统
adipose tissue,[医] 脂肪组织
adipose tumor,[医] 脂瘤
adiposeness,n. adipose的变形
adiposis,n. [医]肥胖病
adiposis dolorosa,"[医] 痛性肥胖症, 德尔肯氏病"
adiposis hepatica,"[医] 肝性肥胖症, 肝积脂病"
adiposis orchalis,"[医] 脑性肥胖症, 肥胖性生殖器退化"
adiposis tuberosa simplex,"[医] 单纯结节性肥胖症, 安德斯氏病"
adiposis universalis,[医] 全身肥胖症
adipositas,[医] 肥胖[症]
adipositas cordis,"[医] 心脏脂肪症, 脂肪心"
adipositas ex vacuo,"[医] 肥胖性萎缩, 脂性萎缩"
adipositas osteoporotica endocrinica,[医] 内分泌性骨质疏松性肥胖症
adipositis,[医] 脂肪织炎
adiposity,n. 肥胖\n[医] 肥胖[症]
adiposoaenital syndrome,"[医] 肥胖性生殖器退化综合征, 弗勒利希氏综合征"
adiposogenital,[医] 肥胖性生殖器的
adiposogenital degeneration,[医] 肥胖性生殖器退化
adiposogenital dystrophy,"[医] 肥胖性生殖器退化, 脑性肥胖症"
adiposuria,[医] 脂肪尿
adipoyl,[化] 己二酰
adipsa,止渴剂
adipsia,n. [医]渴感缺乏
adipyl,[化] 己二酰
adipyl chloride,[化] 己二酰二氯
adipyl dihydrazide,[化] 己二酰二肼
adirondack,n. 阿尔岗金族印第安人; 艾迪龙达克（美国IBM公司大型计算机System3081D在开发时期所用代号）
Adirondack chair,"阿第伦达克椅（一种户外沙发, 靠背可以调整角度, 沙发座通常用宽的长木条制成）"
Adirondack Mountains,[网络] 阿第伦达克山脉；阿迪朗达克山脉；阿迪伦代山脉
Adirondacker,n. 艾迪龙达克(美国IBM公司大型计算机System 3081 D在开发时期所用代号)
adirondacks,(adirondack 的复数) n. 阿尔岗金族印第安人; 艾迪龙达克（美国IBM公司大型计算机System3081D在开发时期所用代号）
ADIS,"[计] 自动数据交换系统, 自动数字交换系统"
adisa,n. (Adisa)人名；(尼日利、加纳)阿迪萨
adit,"n. 入口, 进入\n[机] 进口, 横洞, 横井"
adit air,[机] 空气入口
adit level,"[机] 横洞, 横井, 横坑"
adit mouth,[机] 横坑口
adither,[网络] 呃
aditi,阿底提(印度最古老的女神之一)
adits,"(adit 的复数) n. 入口, 进入\n[机] 进口, 横洞, 横井"
aditus,"入口, 口"
aditus ad antrum,"[医] 乳突窦口, 鼓窦口, 鼓房口"
aditus ad aquaeductum cerebri,[医] 中脑水管口
aditus ad infundibulum,[医] 漏斗隐窝
aditus ad pelvis,[医] 骨盆上口
aditus ad saccum peritonaei minorem,[医] 网膜孔
aditus glottidis inferior,[医] 声门下口
aditus glottidis superior,[医] 声门上口
aditus laryngis,[医] 喉口
aditus orbitae,[医] 眶口
aditya,n. (Aditya)人名；(英、尼)阿迪蒂亚
ADIZ,abbr. 防空识别区（Air Defence Identification Zone）
adizes,abbr. 防空识别区（Air Defence Identification Zone）
adj,abbr. adjust 调整；adjacent 相邻的；adjustable 可调整的；adjusted 调节过的
adj.,abbr. (=adjacent； adjective； adjunct； adjustment)\n[网络] 形容词；太多的；值…的
adjacence,"n. 接近, 毗连"
adjacencies,n. 邻接（adjacency的复数）
adjacency,"n. 邻接, 邻接物\n[计] 邻近; 邻接"
adjacency list,[计] 邻接表
adjacency matrix,[计] 邻接矩阵\n[化] 相邻矩阵
adjacency multilist,[计] 邻接多重表
adjacency relation,[计] 相邻关系
adjaceney,[电] 字距
adjacent,"a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的"
adjacent angle,[医] 邻角
adjacent area,"[法] 邻接区, 毗邻区"
adjacent binary image values,[计] 相邻二值的图象值
adjacent carbon atom,[化] 相邻碳原子
adjacent carbons,[机] 相邻碳
adjacent channel,[计] 相邻信道
adjacent channel attenuation,[电] 相邻波道衰减
adjacent channel frequency,[电] 相邻波道频率
adjacent channel interference,[计] 相邻磁道干扰; 相邻信道干扰
adjacent channel selectivity,[计] 相邻信道选择性
adjacent character,[计] 相邻字符
adjacent code,[计] 相邻码
adjacent compound,[机] 相邻化合物
adjacent domains,[计] 邻近区域
adjacent double bonds,[化] 相邻双键
adjacent edge,[计] 相邻边
adjacent error correcting code,[计] 相邻纠错码
adjacent extreme point,[计] 相邻极点
adjacent free area,[计] 相邻自由区
adjacent frequency selectivity,[计] 相邻频率选择性
adjacent identifier,[计] 相邻标识符
adjacent layer,[计] 相邻层
adjacent level,[计] 相邻级
adjacent line,[计] 邻接线路
adjacent link station,[计] 邻近链路站
adjacent loads,[经] 邻近装货量
adjacent node,"[计] 相邻节点, 邻接结点"
adjacent pich error,[机] 误差
adjacent position,[化] 邻位; 相邻位置
adjacent re-entry model,[化] 相邻再入模型
adjacent region,[计] 相邻区
adjacent reserved word,[计] 相邻保留字
adjacent sea,"[法] 毗邻海, 邻海, 边缘海"
adjacent square,[计] 相邻方格
adjacent states,[法] 相毗邻国家
adjacent subarea,[计] 邻近子区
adjacent to, 与…毗连的
adjacent top-level goal,[计] 相邻顶层目标
adjacent vertex,[计] 相邻顶点
adjacent video carrier,[电] 相邻视频载子
adjacent waters,[法] 相邻水域
adjacent-bit-dependent code,[计] 邻位相关型编码
adjacent-channel selectivity,[电] 相邻频道选择性
adjacent-group-dependent code,[计] 邻组相关型编码
adjacent-to-end carbon,[化] 与末位相邻的碳原子
adjacently,邻近地\n交界地\n紧接着地
adjacet audiochannel,[电] 邻近声频波道
adjag,爪哇豺狗
adjani,n. (Adjani)人名；(法)阿贾尼
Adjar,[网络] 阿达
adjara, [地名] [贝宁] 阿贾拉
adjection,[医] 附加作用
adjectival,a. 形容词的
adjectivally,adv. 作形容词用地；形容词般地
adjective,"n. 形容词\na. 形容词的, 从属的"
adjective dyes,[机] 间接染料
adjective law,"[经] 有关(法律)程序, 程序法"
adjectived,n. 【语法学】；形容词[略作adj.]\na. 【语法学】；形容词的；修饰性的
adjectively,形容词的
adjectives,n. 形容词( adjective的复数形式 )
adjectiving,n. 【语法学】；形容词[略作adj.]\na. 【语法学】；形容词的；修饰性的
adjectivization,
adjectus solutionis gratia,[法] 破产财团分配债权人
adjigo,[网络] adjㄧ
adjoin,"v. 邻接, 毗连"
adjoin to,"与…毗邻,靠近…"
adjoined,"v. 毗连, 邻接"
adjoiner,邻接处; 接合部
adjoining,"a. 邻接的, 毗连的\n[机] 联接"
adjoining carbons,[化] 邻接碳原子
adjoining course,[化] 结合层
adjoining owner,[法] 相邻业主
adjoining position,[机] 邻接位置
adjoining room, 邻室
adjoining tenement,"[法] 相邻住屋, 相邻地产"
adjoining well,"[经] 邻井, 毗邻井"
adjoins,"v. 邻近, 毗连( adjoin的第三人称单数 )"
adjoint,n. [数]伴随矩阵
adjoint operator,[化] 伴随算符
adjoint system,[化] 伴随系统
adjourn,"vi. 休会, 换地方\nvt. 使中止, 推迟"
adjourn a case,[法] 延期审理案件
adjourn a meeting,休会
adjourn sine die,[法] 无限期休庭
adjourn the court,[法] 休庭
adjourn to,休会到…;转移到…继续谈
adjourn without a day,无限期休会
adjournal,n. <废>=adjournment
adjourned,休会
adjourned hearing,[法] 延期的审讯
adjourned meeting,[经] 延期的会议
adjourned sale,[经] 延期销售
adjourning,n. 解散期；解散阶段；中止阶段
adjournment,"n. 延期, 休会, 休会期间\n[法] 休庭, 休会, 延期"
adjournment day,[法] 休庭日
adjournment day in error,[法] 再审休庭日
adjournment in eyre,[法] 巡回法庭休庭
adjournment of hearing,[法] 审判延期
adjournment of inquiry,[法] 讯问押后
adjournment of trial,[法] 审判延期
adjournment sine die,[法] 无限期休庭
adjournments,n. 休会( adjournment的复数形式 ); 延期; 休会期; 休庭期
adjourns,"v. （使）休会, （使）休庭( adjourn的第三人称单数 )"
Adjt.,abbr. 人事行政参谋；助手（Adjutant）
adjudge,"vt. 宣判, 判决, 裁定给, 认为\n[法] 宣判, 依法判决, 裁决"
adjudge sb. to be guilty,[法] 判决某人有罪
adjudge sb. to death,[法] 判决某人死刑
adjudged,v. 判定（adjudge的过去分词形式）
adjudged bankrupt,[法] 破产宣告
adjudgement,"n. 判决, 宣告, 审判\n[法] 依法判决, 裁决, 判定"
adjudger,"vt. .-judging；【法律】审判；依法判决, 判处, 裁决："
adjudges,v. 判决( adjudge的第三人称单数 ); <古>判处; <罕>想; <律>（常指在有争议时）把…判给
adjudging,vt. 宣判；判决；认为
adjudgment,宣告
adjudicate,"v. 判决, 宣告, 裁定"
adjudicate according to law,[法] 依法裁判
adjudicate in a case,[法] 判决案件
adjudicate on a matter,[法] 事实的审理
adjudicate on the merits,[经] 对案件的实体作出的判决
adjudicate sb.guilty,[法] 宣判某人有罪
adjudicate upon,v. 判决
adjudicated,v. 裁定；宣判
adjudicated in one's favor,[法] 宣判某人胜诉
adjudicated rights,[法] 宣判有权
adjudicates,"n. 判决, 宣判( adjudicate的名词复数 ); 裁判员)\nv. 判决, 宣判( adjudicate的第三人称单数 ); 当…的评判员（或裁判员、仲裁人）"
adjudicating,v. 裁定；宣判
adjudicating officer,[法] 裁判官
adjudicatio,[法] 分割共有物裁判
adjudication,"n. 判决, 裁定, 宣告\n[经] 判决, 裁决"
adjudication disappearance,[法] 失踪宣告
adjudication division,"[法] 裁判庭, 审判庭"
adjudication fee,[法] 诉讼费用
adjudication of bankruptcy,[经] 宣告破产
adjudication of death,[法] 死亡宣告
adjudication of justice,[法] 依法裁判
adjudication order,[经] 宣判命令
adjudication rule,"[法] 审判规则, 诉讼程序"
adjudication supervision,[法] 审判监督
adjudication under law,[法] 依法裁判
adjudications,"(adjudication 的复数) n. 判决, 裁定, 宣告\n[经] 判决, 裁决"
adjudicative,"a. 判决的, 宣告的\n[法] 判决的, 审判的, 裁定的"
adjudicator,"n. 评判员\n[法] 审判者, 判决者, 裁定者"
adjudicators,n. 评判员；裁定者
adjudicatory, 裁决的; 宣告的; 审判的
adjugate,"[数]伴随, 共轭"
adjumani, [地名] [乌干达] 阿朱马尼
adjunct,"n. 附属物, 附件, 助手, 修饰语\na. 附属的"
adjunct account,[经] 附加帐户
adjunct circuit,[计] 附加电路
adjunct medical examiner,[法] 兼职法医
adjunct professor,n. <美>副教授，兼职教授
adjunct register,[计] 附加寄存器
adjunct tree,[计] 附属树
adjunction,"n. 添加, 附加,附加物"
adjunctive,"a. 附属的, 附加的"
adjunctively,adv. adjunctive的变形
adjunctly,adv. adjunct的变形
adjuncts,"n. 附件, 助手( adjunct的复数形式 )"
adjunet,"[机] 添加剂, 附属物"
adjuration,"n. 恳请, 祈求\n[法] 誓约, 宣誓, 立誓"
adjurator,[网络] 助手
adjuratory,"a. 誓言的, 恳求的"
adjure,"vt. 恳请, 恳求, 命令, 起誓"
adjured,"vt. 恳请, 恳求；起誓；（以起誓或诅咒等形式）命令"
adjurer,n. adjure的变形
adjures,vt. （以起誓或诅咒等形式）命令要求（adjure的第三人称单数形式）
adjuring,"vt. 恳请, 恳求；起誓；（以起誓或诅咒等形式）命令"
adjust,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应"
adjust accounts,"[经] 复核, 核算, 调整科目(帐户)"
adjust oneself to,使自己适应于
adjust point,[计] 调整点
adjust print settings,调整打印设置\n[计] 调整打印设置
adjust screw,"[机] 调整螺钉, 加减螺钉"
adjust spelling options,调整拼写选项\n[计] 调整拼写选项
adjust text mode,[计] 调整文本方式
adjust to,[计] 调整至
adjust to zero,[化] 调整至零点
adjust vertically,[化] 高度调整; 按高度调整
adjustability,n. 适应性
adjustable,a. 可调节的\n[电] 可调整的
adjustable air condenser,[电] 可调空气电容器
adjustable anchor band,"[医] 调整性锚圈, 调整性安抗"
adjustable anchor tube,[医] 调整锚管
adjustable articulator,"[医] 调整性Ж架, 可调节式Ж架"
adjustable band,[医] 调整性带环
adjustable bearing,[机] 调整轴承
adjustable bed crank press,[机] 活动床式曲柄压机
adjustable blade,[机] 可调整叶片
adjustable blade propeller pump,[机] 调节叶片螺浆泵
adjustable blade propellerpump,[化] 调节叶片螺桨泵
adjustable blowdown,[化] 可调节的泄放
adjustable brake block,[机] 调整闸块
adjustable brush,[电] 可调电刷
adjustable clamp,[机] 调节夹
adjustable compensating condenser,[电] 可调节补偿电容器
adjustable condenser,[电] 可调电容器
adjustable contact,[电] 可调接触
adjustable curve,[机] 自由曲线规
adjustable cutter,[化] 可调刀具
adjustable delivery pump,[化] 可调输料泵
adjustable die,[机] 可调整之螺模
adjustable dimension,[计] 可调维
adjustable discharge gear pump,[化] 可调卸料齿轮
adjustable drilling machine,[机] 活配钻机
adjustable eccentric,[机] 可调整偏心轮
adjustable extent,[计] 可调节范围
adjustable gage,[机] 可调整量规
adjustable grid,[机] 可调栅极
adjustable guide vane,[机] 可调整之导板
adjustable hand wheel,[化] 调整手轮
adjustable head t-square,[机] 活动丁字尺
adjustable inductance,[电] 可调准电感
adjustable limit snap gage,[机] 受限钉头样规
adjustable link,[化] 可调连接杆
adjustable money,[经] 可调节货币
adjustable outrigger collector,[化] 可调节外架总管
adjustable parameter,[化] 可调参数
adjustable peg,[经] 可调整栓定汇率
adjustable pipe clips,[机] 可调整管夹
adjustable pipe for feed flow,[化] 送料调节管
adjustable pitch-propeller,[机] 可调整螺距桨
adjustable premium,"[经] 可调整的保险, 可调整奖金, 可调整酬金"
adjustable range,[化] 调节范围
adjustable reamer,[机] 可调整绞刀
adjustable resistance,[机] 可调整电阻
adjustable resistor,[电] 可调电阻
adjustable retainer,[机] 可调整扣件
adjustable round split die,[机] 可调整圆形开口螺模
adjustable ruler,[机] 自由曲线规
adjustable screw,[机] 调节螺旋
adjustable sheave,[化] 变距槽轮
adjustable shell reamer,[机] 壳型绞刀
adjustable simplex pull rod,[化] 可调式单拉杆
adjustable siphon,[机] 可调虹吸
adjustable snap gage,[机] 可调整卡规
adjustable spanner,[化] 可调扳手
adjustable speed,[化] 可调速度
adjustable speed drive,[化] 变速传动
adjustable speed motor,[电] 调速电动机
adjustable spring collar,[机] 可调整弹簧轴环
adjustable stroke cylinder,"[机] 可调整冲程气缸, 可调整冲程汽缸"
adjustable supporting roll,[化] 可调支承滚轮
adjustable supporting rolls,[化] 可调支承滚轮
adjustable tap,[机] 可调整螺丝攻
adjustable thrust block,[机] 可调整止推轴承
adjustable thurst journal,[机] 可调整止推轴颈
adjustable toe piece,"[机] 可调整趾片, 凸轮"
adjustable vane,[化] 可调的叶片; 可调节的叶片
adjustable voltage stabilizer,[化] 可调稳压器
adjustable votage divider,[电] 可变分压器
adjustable weight,[化] 可调节权
adjustable wrench,[机] 活动板钳
adjustable(-length) V-belt,[化] 活络三角带; 活络三角胶带
adjustables,(adjustable 的第三人称 -s形式) a. 可调节的\n[电] 可调整的
adjustably,adv. adjustable的变形
adjustage,"辅助设备, 精整设备"
adjustalbe voltage generator,[机] 可调整电压发电机
adjusted,a. 调整过的\n[机] 调节了的
adjusted acquisition cost,[经] 调整后采购成本
adjusted bank balance,[经] 调整后银行存款余额
adjusted basis,[经] 调整制
adjusted circuit,[电] 可变电路
adjusted cost basis,[经] 调整后成本基础
adjusted death rate,[医] 修正死亡率
adjusted decibel,[电] 调整分贝
adjusted decibels,[电] 可调分贝
adjusted earned income,[经] 调整后已获
adjusted gross estate,[经] 调整后房产毛值
adjusted gross income,[经] 调整后房产毛值; 收益
adjusted historical cost,[经] 调整后历史成本
adjusted income method,[经] 制定(预算)的收益调整法
adjusted index,[经] 已调整指数
adjusted rate,[医] 修正率
adjusted retention time,[化] 调整保留时间
adjusted retention volume,[化] 调整保留体积
adjusted sales value,[经] 调整后销售价值
adjusted solution,[医] 调整溶液
adjusted tax basis,[经] 调整课税制
adjusted trial balance,[经] 调整后试算表
adjusted value,"[经] 已调整值, 校正值"
adjustent of property relationships,[法] 调整财产关系
adjuster,"n. 调整员, 调停者, 调节器\n[化] 调节器; 校正器"
adjusters,"n. 调停者, 调节器( adjuster的复数形式 )"
adjustfield,调整域
adjusting,[计] 调准
adjusting block,[机] 调整块
adjusting bolt,[化] 调节螺栓
adjusting cones,[医] 调节锥(测量眼轴距离)
adjusting device,[机] 调整装置
adjusting entries,[经] 调整分录
adjusting entries from bank reconciliation,[经] 根据银行往来调节的调整分录
adjusting entry, 调整记录
adjusting gear,[机] 调整装置
adjusting handle,[化] 调节手轮; 调节柄; 调整柄
adjusting key,"[计] 调准键, 定位键\n[化] 调整键; 定位键"
adjusting lock nut,[化] 调节锁紧螺母
adjusting mark,[化] 安装标记; 调整标记
adjusting mechanism,[机] 调整机构
adjusting needle,[机] 调整针
adjusting nut,[化] 调节螺母
adjusting pin,[化] 调整销
adjusting plane,[机] 调整面
adjusting plate,[机] 调整板
adjusting ring,[化] 调整环
adjusting rod,[机] 调整杆
adjusting screw,[机] 调整螺钉
adjusting screw for elevation,[化] 标高调整螺丝; 标高调整螺旋
adjusting screw rod,[化] 调节螺杆
adjusting shell reamer,[机] 可调整壳形绞刀
adjusting slider,[化] 调节滑块; 调节滑板; 调节滑座
adjusting speed,[化] 调整速度
adjusting spring,[化] 调整弹簧
adjusting strip,[化] 调整片; 调整索; 调整楔
adjusting the national economy,[经] 调整国民经济
adjusting valve,[化] 调整阀
adjusting washer,[化] 调节垫圈
adjusting wedge,[化] 调整楔
adjusting wheel,[机] 调整轮
adjustive,"a. 调整的, 调节的"
adjustment,"n. 调整, 调节, 校正\n[化] 调节"
adjustment account,[经] 调整帐户
adjustment after reconciliation,[经] 调节后的调整分录
adjustment bonds,[经] 调整债券
adjustment brokerage,[经] 调整佣金
adjustment by sales department,[经] 销售(营业)部门所作调整
adjustment columns,[经] 调整栏
adjustment controls,[化] 调节控制器
adjustment costs,[经] 理算费用
adjustment entry,"[经] 更正记录, 调整记录"
adjustment fee,[经] 理算费
adjustment letter,"[经] 海损精算书, (保险业中)要求赔偿评定信"
adjustment lever,[化] 调节杆; 调节杠杆
adjustment memo,[经] 调整凭单
adjustment mortgage,[经] 调整抵押
adjustment of actual total loss,[经] 实际全损的理算
adjustment of administration system,[经] 调整行政管理制度
adjustment of average,[经] 海损理算
adjustment of balance,[经] 余额调整
adjustment of clearance,[化] 间隙调整
adjustment of constructive total,[经] 推定全损的理算
adjustment of document,[经] 文件的整理
adjustment of earnings of prior,[经] 前期盈余调整数
adjustment of exchange rate,"[经] 调整外汇汇率, 调整汇价"
adjustment of general average,[经] 共同海损的理算
adjustment of loss,[经] 损失理算
adjustment of mixture,[机] 混合物组份的调节
adjustment of particular average,[经] 单独海损的理算
adjustment of salvage loss,[经] 施救费用的理算
adjustment of seasonal variations,[经] 季节性调整
adjustment period,[经] 调整期间
adjustment planel,[化] 调整板
adjustment plate,[化] 调整板
adjustment range,[经] 调整幅度
adjustment sheet,[化] 调节片
adjustment to surplus,[经] 调整盈余额
adjustment/seasonal,[经] 经季节性调整
adjustmental, 顺应的; 调整的
adjustments,n. 调解( adjustment的复数形式 ); <心>调节; 调整; 调节器
adjustor,"n. 调整者, 调停者, 调节器\n[医] 调整体(反射弧上的神经节部分)"
adjustor neuron,[医] 调整神经元
adjustors,"(adjustor 的复数) n. 调整者, 调停者, 调节器\n[医] 调整体(反射弧上的神经节部分)"
adjusts,"v. （改变…以）适应, 调整, 校正( adjust的第三人称单数 )"
adjutage,n. 喷射管
adjutancy,n. 副官职位
adjutant,"n. 助手, 副官\na. 辅助的"
adjutant bird,n. 产于印度的大鹳鸟，秃鹳
Adjutant General,师级以上的副官；民兵指挥官
adjutant stork,"= adjutant bird [亦称作adjutant, adjutant bird]"
adjutants,n. 助手( adjutant的复数形式 ); 助理; 副官; 辅助的东西
adjutantship,n. 副官职位
adjuvance,[网络] 佐剂
adjuvant,"a. 辅助的\nn. 佐药, 助手"
adjuvant elixir,[医] 辅药酏
